	GK2	GK12	GK13	GK14	GK15	GK16	GK17	GK18	GK19	GK20
hsa-miR-23c	52	25	22	22	27	15	29	8	19	25
hsa-miR-24-1-5p	627	278	303	499	196	234	262	342	212	176
hsa-miR-24-2-5p	1032	1182	1067	1262	801	658	903	1072	782	524
hsa-miR-24-3p	75178	40479	24303	35160	30055	31826	20480	27408	23897	32747
hsa-miR-2467-5p	43	49	69	90	37	62	46	55	31	45
hsa-miR-25-3p	13988	15257	8386	10363	9640	9900	9510	10372	6743	7198
hsa-miR-25-5p	36	11	15	11	13	3	20	19	16	5
hsa-miR-2681-3p	0	3	0	0	7	0	6	0	4	0
hsa-miR-2681-5p	4	16	0	0	10	6	3	8	0	0
hsa-miR-26a-1-3p	19	19	10	17	5	8	9	9	6	0
hsa-miR-26a-2-3p	72	90	69	111	73	38	72	78	67	45
hsa-miR-26a-5p	708640	1069791	804550	699046	1168249	676065	787278	693554	490140	537999
hsa-miR-26b-3p	1018	530	544	467	309	291	475	478	312	304
hsa-miR-26b-5p	60614	110383	114825	101244	91127	105343	103872	126150	90022	84545
hsa-miR-27a-3p	69849	68550	60817	59971	48973	42401	53053	49630	43250	37871
hsa-miR-27a-5p	34	241	83	240	60	25	57	73	80	16
hsa-miR-27b-3p	1199256	1444079	1210542	1117448	951925	933494	882738	1169726	785525	962950
hsa-miR-27b-5p	3190	2512	2367	3179	1775	1466	2056	2552	1198	1644
hsa-miR-28-3p	44399	39537	34486	35650	21341	26208	37279	37842	19303	24487
hsa-miR-28-5p	7856	9836	8940	6514	6409	6324	8970	9776	4941	6701
hsa-miR-2861	2	5	0	3	4	2	3	0	2	0
hsa-miR-296-3p	45	5	9	22	11	5	18	14	2	12
hsa-miR-296-5p	181	52	75	51	40	24	63	66	23	36
hsa-miR-299-3p	69	138	63	141	96	81	83	73	91	73
hsa-miR-299-5p	35	41	9	23	26	15	8	14	13	14
hsa-miR-29a-3p	41573	25013	28192	26588	20771	16838	28140	23207	15243	16335
hsa-miR-29a-5p	153	69	100	180	59	57	153	126	100	73
hsa-miR-29b-1-5p	35	32	30	70	33	6	29	38	44	17
hsa-miR-29b-2-5p	370	148	152	166	119	113	126	159	107	120
hsa-miR-29b-3p	8331	3156	6005	13066	2402	3525	5517	4724	3673	4043
hsa-miR-29c-3p	22226	14043	16607	22580	10728	13627	19063	17653	9820	11650
hsa-miR-29c-5p	7577	1637	2484	3957	1432	2396	1569	1844	1771	1925
hsa-miR-301a-3p	3291	4479	4475	5732	3388	3504	4916	5490	2596	4223
hsa-miR-301a-5p	27	17	42	23	13	11	18	31	12	25
hsa-miR-301b-3p	241	462	353	369	282	158	327	314	134	339
hsa-miR-302a-3p	177	120	147	119	70	170	126	102	83	113
hsa-miR-302a-5p	493	108	203	221	56	191	117	92	54	94
hsa-miR-302b-3p	257	130	250	286	105	296	211	182	130	163
hsa-miR-302b-5p	4	2	0	5	0	0	0	0	0	0
hsa-miR-302c-3p	96	17	39	39	22	44	34	22	26	45
hsa-miR-302c-5p	10	2	4	4	2	11	2	4	0	2
hsa-miR-302d-3p	408	76	263	231	98	178	143	143	113	124
hsa-miR-302d-5p	2	0	0	0	0	0	2	2	0	0
hsa-miR-3064-3p	0	4	0	0	0	0	0	2	0	0
hsa-miR-3064-5p	7	0	2	4	0	0	2	4	0	0
hsa-miR-3065-3p	73	32	7	46	26	20	48	7	50	66
